,playerid,web_name,element_type,now_cost,team,minutes_x,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,ExcludeDef,level_0,level_1,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id,TeamID,OppTeam2,OppTeam,Teams.name,XGI_Weighted,XGC_Weighted,Minutes,AttackOpp_pergame,DefenceOpp_pergame
0,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Away,302,2444773,31,False,False,304,2025-04-05T14:00:00Z,0,False,False,1,,8,,[],4,3,116130,1,8,8.0,Everton,0.6911578107146714,1.7584406645759998,493.3333333333333,0.0,0.0
1,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Home,340,2444810,35,False,False,341,2025-05-03T14:00:00Z,0,False,False,3,,1,,[],3,4,116167,1,3,3.0,Bournemouth,0.64791605642589,2.57591730482,449.27272727272725,0.0,0.0
2,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Home,289,2444761,30,False,False,291,2025-04-01T18:45:00Z,0,False,False,9,,1,,[],3,4,116117,1,9,9.0,Fulham,0.7807579681520402,0.876029057104,411.4166666666667,0.0,0.0
3,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Away,325,2444795,33,False,False,326,2025-04-19T14:00:00Z,0,False,False,1,,10,,[],4,2,116152,1,10,10.0,Ipswich,0.25980392156862747,3.1654,406.6666666666667,0.0,0.0
4,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Away,377,2444847,38,False,False,378,2025-05-25T15:00:00Z,0,False,False,1,,17,,[],4,2,116204,1,17,17.0,Southampton,0.4106951871657754,3.8147999999999995,448.09090909090907,0.0,0.0
5,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Home,360,2444830,37,False,False,361,2025-05-18T14:00:00Z,0,False,False,15,,1,,[],3,4,116187,1,15,15.0,Newcastle,0.7477088498937483,2.42858263284,448.6363636363636,0.0,0.0
6,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Home,330,2444801,34,False,False,331,2025-04-26T14:00:00Z,0,False,False,7,,1,,[],3,4,116157,1,7,7.0,Crystal Palace,0.8103572612981883,1.88132509864,448.6363636363636,0.0,0.0
7,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Home,286,2444751,29,False,False,281,2025-03-16T13:30:00Z,0,False,False,6,,1,,[],4,4,116107,1,6,6.0,Chelsea,1.0200707830205848,1.9606054765279999,447.0,0.0,0.0
8,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Home,309,2444781,32,False,False,311,2025-04-12T14:00:00Z,0,False,False,4,,1,,[],2,4,116137,1,4,4.0,Brentford,0.7565959888860022,2.694661391216,411.6666666666667,0.0,0.0
9,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,N,Away,279,2444745,28,False,False,276,2025-03-09T16:30:00Z,0,False,False,1,,14,,[],4,3,116102,1,14,14.0,Man Utd,0.7282564486174953,2.55009757006,411.1666666666667,0.0,0.0
