,playerid,web_name,element_type,now_cost,team,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
0,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.674219519816056,2.3572765524789334,0.0,0.0
1,2.0,G.Jesus,4.0,66.0,1.0,0.242,0.074,0.316,0.366,0.674219519816056,2.3572765524789334,0.744899390583343,0.2467643442526765
2,3.0,Gabriel,2.0,64.0,1.0,0.06000000000000001,0.09,0.15,0.7580000000000001,0.674219519816056,2.3572765524789334,0.35359148287184,0.5110583960205705
3,4.0,Havertz,4.0,78.0,1.0,0.336,0.024,0.36,0.396,0.674219519816056,2.3572765524789334,0.848619558892416,0.26699092984715816
4,6.0,J.Timber,2.0,56.0,1.0,0.008,0.04,0.048,0.454,0.674219519816056,2.3572765524789334,0.1131492745189888,0.30609566199648947
5,7.0,Jorginho,3.0,47.0,1.0,0.0,0.032,0.032,0.2700000000000001,0.674219519816056,2.3572765524789334,0.07543284967932587,0.18203927035033513
6,9.0,Martinelli,3.0,67.0,1.0,0.182,0.078,0.26,0.5479999999999999,0.674219519816056,2.3572765524789334,0.6128919036445227,0.36947229685919863
7,10.0,Nelson,3.0,50.0,9.0,0.0,0.0,0.0,0.0,0.7200909830687341,2.122161900346,0.0,0.0
8,11.0,Nketiah,4.0,59.0,7.0,0.038,0.0,0.038,0.072,0.6897420569824814,2.22726496573525,0.08463606869793949,0.04966142810273866
9,12.0,Nwaneri,3.0,45.0,1.0,0.030000000000000006,0.026000000000000002,0.05600000000000001,0.168,0.674219519816056,2.3572765524789334,0.13200748693882028,0.11326887932909742
10,13.0,Ødegaard,3.0,82.0,1.0,0.14,0.21000000000000002,0.35,0.48800000000000004,0.674219519816056,2.3572765524789334,0.8250467933676267,0.32901912567023534
11,14.0,Ramsdale,1.0,44.0,17.0,0.0,0.002,0.002,2.71,0.6736158620447158,2.0777840961858667,0.004155568192371733,1.82549898614118
12,15.0,Raya,1.0,56.0,1.0,0.0,0.0,0.0,0.7580000000000001,0.674219519816056,2.3572765524789334,0.0,0.5110583960205705
13,16.0,Rice,3.0,62.0,1.0,0.05999999999999999,0.21800000000000003,0.27799999999999997,0.656,0.674219519816056,2.3572765524789334,0.6553228815891434,0.4422880049993328
14,17.0,Saka,3.0,102.0,1.0,0.0,0.0,0.0,0.0,0.674219519816056,2.3572765524789334,0.0,0.0
15,18.0,Saliba,2.0,62.0,1.0,0.0,0.026000000000000002,0.026000000000000002,0.55,0.674219519816056,2.3572765524789334,0.061289190364452274,0.37082073589883086
16,19.0,Smith Rowe,3.0,52.0,9.0,0.21600000000000003,0.030000000000000006,0.246,0.47800000000000004,0.7200909830687341,2.122161900346,0.522051827485116,0.34420348990685495
17,20.0,Thomas,3.0,50.0,1.0,0.052000000000000005,0.098,0.15,0.754,0.674219519816056,2.3572765524789334,0.35359148287184,0.5083615179413062
18,23.0,Trossard,3.0,68.0,1.0,0.142,0.20600000000000002,0.348,0.658,0.674219519816056,2.3572765524789334,0.8203322402626688,0.4436364440389648
19,27.0,Archer,4.0,50.0,17.0,0.0,0.030000000000000006,0.030000000000000006,0.8640000000000001,0.6736158620447158,2.0777840961858667,0.06233352288557601,0.5820041048066346
20,28.0,Bailey,3.0,62.0,2.0,0.13599999999999998,0.07999999999999999,0.21600000000000003,0.33599999999999997,0.6942320720647169,2.3024477963645,0.49732872401473205,0.23326197621374486
21,29.0,Barkley,3.0,52.0,2.0,0.03,0.008,0.038,0.196,0.6942320720647169,2.3024477963645,0.087493016261851,0.13606948612468453
22,30.0,Barrenechea,3.0,49.0,2.0,0.0,0.0,0.0,0.0,0.6942320720647169,2.3024477963645,0.0,0.0
23,31.0,Buendia,3.0,51.0,2.0,0.10800000000000001,0.0,0.10800000000000001,0.11800000000000002,0.6942320720647169,2.3024477963645,0.24866436200736602,0.08191938450363662
24,32.0,Cash,2.0,44.0,2.0,0.018,0.06599999999999999,0.084,1.074,0.6942320720647169,2.3024477963645,0.19340561489461802,0.7456052453975061
25,33.0,Dendoncker,3.0,45.0,2.0,0.0,0.0,0.0,0.0,0.6942320720647169,2.3024477963645,0.0,0.0
26,34.0,Diaby,3.0,65.0,2.0,0.0,0.0,0.0,0.0,0.6942320720647169,2.3024477963645,0.0,0.0
27,36.0,Digne,2.0,46.0,2.0,0.028000000000000004,0.10200000000000001,0.13,1.166,0.6942320720647169,2.3024477963645,0.299318213527385,0.8094745960274599
28,37.0,Dobbin,3.0,50.0,2.0,0.0,0.0,0.0,0.0,0.6942320720647169,2.3024477963645,0.0,0.0
29,38.0,Duran,4.0,58.0,2.0,0.0,0.002,0.002,0.13999999999999999,0.6942320720647169,2.3024477963645,0.004604895592729,0.09719249008906036
30,41.0,Iling Jr,3.0,54.0,2.0,0.0,0.0,0.0,0.0,0.6942320720647169,2.3024477963645,0.0,0.0
31,42.0,Kamara,3.0,50.0,2.0,0.026000000000000002,0.026000000000000002,0.052000000000000005,1.24,0.6942320720647169,2.3024477963645,0.11972728541095401,0.860847769360249
32,44.0,Konsa,2.0,44.0,2.0,0.0,0.008,0.008,1.3539999999999999,0.6942320720647169,2.3024477963645,0.018419582370916,0.9399902255756266
33,47.0,Martinez,1.0,50.0,2.0,0.0,0.0,0.0,1.3539999999999999,0.6942320720647169,2.3024477963645,0.0,0.9399902255756266
34,48.0,McGinn,3.0,52.0,2.0,0.0,0.022,0.022,0.724,0.6942320720647169,2.3024477963645,0.050653851520019,0.5026240201748551
35,49.0,Mings,2.0,44.0,2.0,0.01,0.01,0.02,0.74,0.6942320720647169,2.3024477963645,0.046048955927290004,0.5137317333278906
36,53.0,Ramsey,3.0,54.0,2.0,0.064,0.06400000000000002,0.128,0.54,0.6942320720647169,2.3024477963645,0.294713317934656,0.37488531891494714
37,54.0,Rogers,3.0,56.0,2.0,0.038,0.052000000000000005,0.09,1.218,0.6942320720647169,2.3024477963645,0.207220301672805,0.8455746637748252
38,57.0,Tielemans,3.0,55.0,2.0,0.144,0.024,0.168,0.9019999999999999,0.6942320720647169,2.3024477963645,0.38681122978923604,0.6261973290023746
39,58.0,Watkins,4.0,89.0,2.0,0.52,0.054000000000000006,0.5740000000000001,1.1119999999999999,0.6942320720647169,2.3024477963645,1.3216050351132231,0.7719860641359652
40,60.0,Adams,3.0,49.0,3.0,0.0,0.014000000000000002,0.014000000000000002,0.728,0.6532904972969671,2.3514996188373334,0.032920994663722676,0.4755954820321921
41,61.0,Anthony,3.0,45.0,3.0,0.0,0.0,0.0,0.0,0.6532904972969671,2.3514996188373334,0.0,0.0
42,62.0,Brooks,3.0,49.0,3.0,0.20600000000000002,0.11400000000000002,0.32,0.65,0.6532904972969671,2.3514996188373334,0.7524798780279467,0.42463882324302865
43,63.0,Christie,3.0,49.0,3.0,0.15,0.041999999999999996,0.192,1.1119999999999999,0.6532904972969671,2.3514996188373334,0.4514879268167681,0.7264590329942275
44,64.0,Cook,3.0,50.0,3.0,0.008,0.16799999999999998,0.176,1.1119999999999999,0.6532904972969671,2.3514996188373334,0.41386393291537066,0.7264590329942275
45,65.0,Enes Ünal,4.0,54.0,3.0,0.094,0.024,0.11800000000000001,0.13999999999999999,0.6532904972969671,2.3514996188373334,0.2774769550228053,0.0914606696215754
46,66.0,Faivre,3.0,50.0,3.0,0.0,0.0,0.0,0.0,0.6532904972969671,2.3514996188373334,0.0,0.0
47,67.0,H.Traorè,3.0,45.0,3.0,0.0,0.0,0.0,0.0,0.6532904972969671,2.3514996188373334,0.0,0.0
48,69.0,Jebbison,4.0,45.0,3.0,0.041999999999999996,0.022,0.064,0.13,0.6532904972969671,2.3514996188373334,0.15049597560558933,0.08492776464860574
49,70.0,Kerkez,2.0,49.0,3.0,0.024,0.076,0.1,1.1119999999999999,0.6532904972969671,2.3514996188373334,0.23514996188373335,0.7264590329942275
50,71.0,Kluivert,3.0,57.0,3.0,0.362,0.05600000000000001,0.418,0.7060000000000001,0.6532904972969671,2.3514996188373334,0.9829268406740054,0.4612230910916589
51,74.0,O.Dango,3.0,50.0,3.0,0.288,0.12399999999999999,0.41200000000000003,0.9919999999999999,0.6532904972969671,2.3514996188373334,0.9688178429609814,0.6480641733185915
52,76.0,Philip,3.0,48.0,3.0,0.044,0.012,0.05600000000000001,0.18400000000000002,0.6532904972969671,2.3514996188373334,0.1316839786548907,0.12020545150264199
53,77.0,Scott,3.0,47.0,3.0,0.0,0.0,0.0,0.0,0.6532904972969671,2.3514996188373334,0.0,0.0
54,78.0,Semenyo,3.0,56.0,3.0,0.262,0.11999999999999998,0.382,1.1119999999999999,0.6532904972969671,2.3514996188373334,0.8982728543958614,0.7264590329942275
55,80.0,Sinisterra,3.0,48.0,3.0,0.0,0.0,0.0,0.0,0.6532904972969671,2.3514996188373334,0.0,0.0
56,82.0,Solanke,4.0,74.0,18.0,0.198,0.042,0.24,1.164,0.6529769907988027,2.37880144445075,0.57091234666818,0.7600652172898062
57,83.0,Tavernier,3.0,54.0,3.0,0.0,0.0,0.0,0.0,0.6532904972969671,2.3514996188373334,0.0,0.0
58,85.0,Zabarnyi,2.0,44.0,3.0,0.078,0.042,0.11999999999999998,1.1119999999999999,0.6532904972969671,2.3514996188373334,0.28217995426048,0.7264590329942275
